subject;chr;start;end;start_cm;end_cm;length_cm;length;Nm;Nf;male_meiosis;mutation
first_cousins3_g4-b1-i1;6;102028555;125788450;101.59599;122.900072;21.304082;23759895;3;3;1;1
first_cousins3_g4-b1-i1;8;17439475;27858984;31.678986;48.18088;16.501894;10419509;3;3;-1;0
first_cousins3_g4-b1-i1;9;132327297;135099799;132.289719;137.397262;5.107543;2772502;3;3;-1;0
first_cousins3_g4-b1-i1;9;135867192;141027939;139.204435;154.185968;14.981533;5160747;3;3;-1;0
first_cousins3_g4-b1-i1;10;5699585;30304826;12.848079;52.57433;39.72625;24605241;3;3;1;1
first_cousins3_g4-b1-i1;10;56627912;63877172;68.003781;73.525291;5.52151;7249260;3;3;1;0
first_cousins3_g4-b1-i1;10;81186904;82344779;92.977896;93.801872;0.823977;1157875;3;3;1;0
first_cousins3_g4-b1-i1;12;105443015;116184940;112.617844;125.025582;12.407738;10741925;3;3;1;0
first_cousins3_g4-b1-i1;17;66905000;72749398;92.201461;106.336281;14.13482;5844398;3;3;-1;0
first_cousins3_g4-b1-i1;18;996937;3892617;3.167564;11.906152;8.738588;2895680;3;3;1;0
first_cousins4_g4-b1-i1;6;128299553;130534460;124.0603;126.344556;2.284257;2234907;3;3;1;0
first_cousins4_g4-b1-i1;6;139167846;143837355;137.626464;141.556173;3.929709;4669509;3;3;1;0
first_cousins4_g4-b1-i1;8;118619779;120432224;114.984333;116.871223;1.88689;1812445;3;3;1;0
first_cousins4_g4-b1-i1;10;127384157;130925164;145.858426;154.832911;8.974485;3541007;3;3;1;0
first_cousins4_g4-b1-i1;10;134336044;135473442;163.947259;165.630162;1.682903;1137398;3;3;1;0
first_cousins4_g4-b1-i1;11;4640753;22693957;9.084323;38.921645;29.837322;18053204;3;3;1;0
first_cousins4_g4-b1-i1;16;57924170;59886953;72.351853;75.033464;2.681611;1962783;3;3;-1;0
first_cousins4_g4-b1-i1;16;83241593;84446230;106.173636;109.938099;3.764463;1204637;3;3;1;0
first_cousins4_g4-b1-i1;20;69094;17837865;0;41.434063;41.434063;17768771;3;3;-1;0
first_cousins4_g4-b1-i1;22;29657622;29659264;29.587669;29.589678;0.002009;1642;3;3;-1;0
first_cousins5_g4-b1-i1;6;13295159;13432730;28.843119;29.439315;0.596196;137571;3;3;-1;0
first_cousins5_g4-b1-i1;6;23291249;134569814;44.192964;130.895513;86.702549;111278565;3;3;-1;5
first_cousins5_g4-b1-i1;6;143836094;158906907;141.546343;162.365068;20.818725;15070813;3;3;1;0
first_cousins5_g4-b1-i1;7;8432848;15018736;14.05676;25.649626;11.592866;6585888;3;3;1;0
first_cousins5_g4-b1-i1;7;137452740;141728759;135.83764;142.869457;7.031817;4276019;3;3;1;0
first_cousins5_g4-b1-i1;7;151511895;151697775;156.709928;157.645106;0.935179;185880;3;3;1;0
first_cousins5_g4-b1-i1;8;87631700;98919113;90.930666;99.620702;8.690036;11287413;3;3;-1;0
first_cousins5_g4-b1-i1;9;131949772;137310280;130.502122;143.57888;13.076758;5360508;3;3;-1;0
first_cousins5_g4-b1-i1;11;60838952;95338662;66.065601;96.039501;29.9739;34499710;3;3;1;0
first_cousins5_g4-b1-i1;12;99266700;104848093;105.560625;111.468925;5.9083;5581393;3;3;1;0
first_cousins5_g4-b1-i1;13;30878812;37276386;25.030995;35.227837;10.196842;6397574;3;3;-1;0
first_cousins5_g4-b1-i1;13;41069585;49384951;40.873691;50.751839;9.878148;8315366;3;3;-1;0
first_cousins5_g4-b1-i1;13;79493582;101687559;73.562497;94.361199;20.798702;22193977;3;3;-1;1
first_cousins5_g4-b1-i1;13;106558518;110690132;104.432855;114.721624;10.28877;4131614;3;3;-1;0
first_cousins5_g4-b1-i1;19;36078989;41404516;58.040931;62.299117;4.258186;5325527;3;3;-1;0
first_cousins6_g4-b1-i1;1;111002818;111117570;130.158635;130.671384;0.512748;114752;2;4;-1;0
first_cousins6_g4-b1-i1;9;81428430;89597262;73.053176;83.209216;10.15604;8168832;2;4;-1;0
first_cousins6_g4-b1-i1;10;7055509;44014392;16.99748;60.102728;43.105248;36958883;2;4;1;4
first_cousins6_g4-b1-i1;10;54722692;59368751;66.421263;69.480779;3.059516;4646059;2;4;-1;0
first_cousins6_g4-b1-i1;10;86222568;101369606;98.321677;112.56792;14.246242;15147038;2;4;-1;0
first_cousins6_g4-b1-i1;15;26044616;53701051;5.582319;42.165347;36.583027;27656435;2;4;-1;0
first_cousins6_g4-b1-i1;15;94854741;94854852;96.498422;96.516292;0.017869;111;2;4;-1;0
first_cousins6_g4-b1-i1;15;96959621;98051883;102.874803;105.866061;2.991258;1092262;2;4;-1;0
first_cousins6_g4-b1-i1;16;62080599;86898906;76.953516;119.791455;42.837939;24818307;2;4;1;0
first_cousins6_g4-b1-i1;17;4386885;9479217;11.320774;23.764958;12.444184;5092332;2;4;1;0
first_cousins6_g4-b1-i1;20;69094;6642556;0;19.626999;19.626999;6573462;2;4;1;0
first_cousins6_g4-b1-i1;20;6857885;9222480;20.567094;25.242308;4.675214;2364595;2;4;1;0
first_cousins6_g4-b1-i1;20;10720095;17493955;29.21225;40.871359;11.659109;6773860;2;4;1;0
first_cousins6_g4-b1-i1;22;17087705;33691897;0;33.124288;33.124288;16604192;2;4;-1;0
first_cousins7_g4-b1-i1;2;21540845;48298047;39.831909;69.767101;29.935192;26757202;2;4;-1;2
first_cousins7_g4-b1-i1;3;44215835;60143875;65.113357;77.268242;12.154885;15928040;2;4;1;0
first_cousins7_g4-b1-i1;4;167596;17380357;0;31.15425;31.15425;17212761;2;4;-1;1
first_cousins7_g4-b1-i1;4;67614597;78267944;75.276142;83.050766;7.774624;10653347;2;4;-1;0
first_cousins7_g4-b1-i1;7;20289462;22058900;32.584624;35.303822;2.719198;1769438;2;4;1;0
first_cousins7_g4-b1-i1;10;115396154;123819575;124.567759;138.287135;13.719376;8423421;2;4;-1;0
first_cousins7_g4-b1-i1;10;129206162;135473442;149.486588;165.630162;16.143574;6267280;2;4;-1;0
first_cousins7_g4-b1-i1;14;20559118;20666719;0.118989;0.184727;0.065738;107601;2;4;-1;0
first_cousins7_g4-b1-i1;19;54436260;59058083;90.608947;103.571793;12.962845;4621823;2;4;-1;0
first_cousins8_g4-b1-i1;1;14836312;20036614;26.29;37.752405;11.462405;5200302;3;3;-1;0
first_cousins8_g4-b1-i1;2;62435177;62550267;79.285505;79.519844;0.23434;115090;3;3;-1;0
first_cousins8_g4-b1-i1;2;74121558;78613335;92.026421;97.286695;5.260275;4491777;3;3;-1;1
first_cousins8_g4-b1-i1;4;122461511;156042127;119.193564;147.844076;28.650512;33580616;3;3;1;3
first_cousins8_g4-b1-i1;6;3072961;4955152;7.890308;13.56894;5.678632;1882191;3;3;1;0
first_cousins8_g4-b1-i1;6;56155667;91522542;76.268699;93.861702;17.593003;35366875;3;3;-1;0
first_cousins8_g4-b1-i1;6;126260967;151128548;123.224068;149.889489;26.665421;24867581;3;3;-1;1
first_cousins8_g4-b1-i1;7;15788450;27925691;26.646454;41.388483;14.74203;12137241;3;3;-1;0
first_cousins8_g4-b1-i1;7;129411279;138539625;125.96738;138.737019;12.769639;9128346;3;3;1;0
first_cousins8_g4-b1-i1;9;2160192;4035611;5.862475;10.304254;4.44178;1875419;3;3;1;0
first_cousins8_g4-b1-i1;9;30867138;137679633;52.342965;145.670092;93.327127;106812495;3;3;1;2
first_cousins8_g4-b1-i1;12;18626648;32047132;34.975145;51.297437;16.322293;13420484;3;3;-1;0
first_cousins8_g4-b1-i1;13;37277057;40090502;35.289656;38.836899;3.547243;2813445;3;3;-1;0
first_cousins8_g4-b1-i1;15;98157829;102398631;106.492172;118.431046;11.938875;4240802;3;3;1;1
first_cousins8_g4-b1-i1;16;143503;6652136;0;14.134176;14.134176;6508633;3;3;1;0
first_cousins8_g4-b1-i1;17;13626325;13648196;36.609819;36.85345;0.24363;21871;3;3;1;0
first_cousins9_g4-b1-i1;2;119745721;133271917;121.54183;135.632801;14.090971;13526196;3;3;-1;0
first_cousins9_g4-b1-i1;2;134880949;151270311;138.382472;150.802824;12.420352;16389362;3;3;-1;1
first_cousins9_g4-b1-i1;2;226248496;236069485;218.042527;235.657417;17.61489;9820989;3;3;-1;0
first_cousins9_g4-b1-i1;7;149097928;159119486;151.290617;176.04137;24.750753;10021558;3;3;-1;0
first_cousins9_g4-b1-i1;10;35771483;36957278;57.791914;59.377151;1.585238;1185795;3;3;-1;0
first_cousins9_g4-b1-i1;10;132583926;133880854;159.665741;163.08223;3.416489;1296928;3;3;1;0
first_cousins9_g4-b1-i1;11;71392718;119216102;75.876853;120.679913;44.80306;47823384;3;3;-1;3
first_cousins9_g4-b1-i1;12;191619;24604862;0;42.940876;42.940876;24413243;3;3;1;1
first_cousins9_g4-b1-i1;14;100418415;107285437;105.448507;115.922228;10.473721;6867022;3;3;-1;1
first_cousins10_g4-b1-i1;4;181523085;184573317;176.237011;183.817203;7.580192;3050232;3;3;1;1
first_cousins10_g4-b1-i1;4;186872126;187392500;191.001824;192.671443;1.669618;520374;3;3;1;0
first_cousins10_g4-b1-i1;6;40611152;56145510;58.843953;76.26163;17.417677;15534358;3;3;-1;0
first_cousins10_g4-b1-i1;7;157785137;159119486;174.521964;176.04137;1.519406;1334349;3;3;1;0
first_cousins10_g4-b1-i1;10;158946;4519334;0;10.370518;10.370518;4360388;3;3;-1;0
first_cousins10_g4-b1-i1;10;16062855;17593937;36.05173;38.910454;2.858725;1531082;3;3;-1;0
first_cousins10_g4-b1-i1;11;21907036;26699406;37.883745;43.298897;5.415152;4792370;3;3;-1;0
first_cousins10_g4-b1-i1;12;191619;4114199;0;9.916892;9.916892;3922580;3;3;1;0
first_cousins10_g4-b1-i1;12;130160306;131412076;153.548175;159.597085;6.04891;1251770;3;3;1;0
first_cousins10_g4-b1-i1;14;33487816;34590215;26.256615;30.082731;3.826116;1102399;3;3;1;0
first_cousins10_g4-b1-i1;15;40214901;91967205;32.267633;86.469218;54.201585;51752304;3;3;1;1
first_cousins10_g4-b1-i1;19;261033;860469;0;2.276517;2.276517;599436;3;3;1;0
first_cousins10_g4-b1-i1;20;29990210;38816145;50.370717;55.753902;5.383186;8825935;3;3;-1;0
first_cousins11_g4-b1-i1;4;172633284;180655600;163.615112;174.641177;11.026065;8022316;4;2;1;1
first_cousins11_g4-b1-i1;5;65879198;123416342;72.711234;121.5581;48.846866;57537144;4;2;1;2
first_cousins11_g4-b1-i1;9;1927238;3592242;4.958015;9.025047;4.067032;1665004;4;2;-1;0
first_cousins11_g4-b1-i1;10;91960733;92831972;103.296202;104.186329;0.890127;871239;4;2;-1;0
first_cousins11_g4-b1-i1;12;130866297;133744154;156.968742;162.642417;5.673676;2877857;4;2;1;1
first_cousins11_g4-b1-i1;15;20161372;55309386;0;43.593277;43.593277;35148014;4;2;-1;1
first_cousins11_g4-b1-i1;15;58439875;81133841;46.808588;73.855976;27.047388;22693966;4;2;-1;0
first_cousins11_g4-b1-i1;17;14286603;17103429;39.783294;44.123499;4.340205;2816826;4;2;-1;0
first_cousins11_g4-b1-i1;19;57431768;59058083;100.816072;103.571793;2.75572;1626315;4;2;1;0
first_cousins11_g4-b1-i1;22;38865366;51229805;43.204644;68.664959;25.460315;12364439;4;2;1;0
first_cousins12_g4-b1-i1;2;118913;5695936;0;10.2702;10.2702;5577023;4;2;-1;0
first_cousins12_g4-b1-i1;2;15106239;24690428;30.907023;42.853714;11.946691;9584189;4;2;1;1
first_cousins12_g4-b1-i1;2;115209456;120257217;118.78833;122.380443;3.592113;5047761;4;2;1;1
first_cousins12_g4-b1-i1;2;122614427;228057456;126.09753;220.298885;94.201355;105443029;4;2;1;3
first_cousins12_g4-b1-i1;3;55802074;72256185;72.656511;96.307942;23.651432;16454111;4;2;1;0
first_cousins12_g4-b1-i1;3;72564077;133252668;96.979475;138.9534;41.973924;60688591;4;2;1;5
first_cousins12_g4-b1-i1;3;173417349;196682469;174.807693;215.572437;40.764744;23265120;4;2;1;2
first_cousins12_g4-b1-i1;3;197038974;197800244;215.95743;216.849168;0.891737;761270;4;2;1;0
first_cousins12_g4-b1-i1;4;190228651;190936728;198.880055;200.225934;1.345879;708077;4;2;1;0
first_cousins12_g4-b1-i1;7;134679954;135469136;132.710759;133.512878;0.802119;789182;4;2;1;0
first_cousins12_g4-b1-i1;8;113565;1430140;0;1.634504;1.634504;1316575;4;2;1;0
first_cousins12_g4-b1-i1;19;40170346;45083696;60.983148;65.944975;4.961828;4913350;4;2;1;0
first_cousins12_g4-b1-i1;20;69094;4463834;0;12.009217;12.009217;4394740;4;2;1;0
first_cousins13_g4-b1-i1;2;29465019;87783968;46.502968;103.978913;57.475946;58318949;3;3;1;2
first_cousins13_g4-b1-i1;2;119467015;126357946;121.190995;128.633817;7.442823;6890931;3;3;1;0
first_cousins13_g4-b1-i1;2;129475418;131713528;131.788044;134.065347;2.277303;2238110;3;3;1;1
first_cousins13_g4-b1-i1;4;30164123;41708822;46.61611;59.468521;12.852411;11544699;3;3;-1;0
first_cousins13_g4-b1-i1;5;172284227;180692833;177.294238;196.338913;19.044675;8408606;3;3;-1;0
first_cousins13_g4-b1-i1;7;106275205;120506143;111.055593;120.493932;9.438338;14230938;3;3;-1;1
first_cousins13_g4-b1-i1;8;2433926;2537037;4.434813;4.823293;0.38848;103111;3;3;-1;0
first_cousins13_g4-b1-i1;11;40128330;70105218;56.41052;74.118079;17.707559;29976888;3;3;-1;0
first_cousins13_g4-b1-i1;15;24071883;31179978;2.291387;15.363302;13.071915;7108095;3;3;1;1
first_cousins14_g4-b1-i1;1;234655633;236085109;232.672055;234.911114;2.239059;1429476;3;3;1;0
first_cousins14_g4-b1-i1;2;18744155;20755207;36.557425;39.051423;2.493998;2011052;3;3;1;0
first_cousins14_g4-b1-i1;2;23067794;34279519;40.940792;52.874757;11.933965;11211725;3;3;1;0
first_cousins14_g4-b1-i1;2;43251858;68876368;62.136406;86.89614;24.759734;25624510;3;3;-1;1
first_cousins14_g4-b1-i1;2;75065405;77685149;93.043296;96.579445;3.53615;2619744;3;3;-1;0
first_cousins14_g4-b1-i1;3;143355259;169729433;148.212995;168.768226;20.555231;26374174;3;3;1;2
first_cousins14_g4-b1-i1;9;110343611;114832355;104.476625;110.204297;5.727672;4488744;3;3;-1;0
first_cousins14_g4-b1-i1;10;19568559;23367929;40.520306;43.388222;2.867916;3799370;3;3;1;0
first_cousins14_g4-b1-i1;10;43751381;51795818;59.934285;63.025308;3.091023;8044437;3;3;1;0
first_cousins14_g4-b1-i1;18;21847351;32756809;43.703724;54.67576;10.972036;10909458;3;3;-1;1
first_cousins14_g4-b1-i1;18;73522350;78014582;105.446568;116.434245;10.987677;4492232;3;3;-1;0
first_cousins14_g4-b1-i1;21;44697949;47927343;55.457927;61.394104;5.936177;3229394;3;3;-1;0
first_cousins15_g4-b1-i1;1;15182705;18405748;27.662392;33.631977;5.969585;3223043;2;4;-1;0
first_cousins15_g4-b1-i1;1;67594179;77830762;92.368287;100.411833;8.043546;10236583;2;4;1;0
first_cousins15_g4-b1-i1;2;60301895;80108078;77.946511;99.346945;21.400434;19806183;2;4;-1;1
first_cousins15_g4-b1-i1;2;112113904;121073092;115.92345;122.782472;6.859022;8959188;2;4;-1;0
first_cousins15_g4-b1-i1;3;108226;3084377;0;7.340647;7.340647;2976151;2;4;-1;0
first_cousins15_g4-b1-i1;5;8334925;24948734;20.060845;41.67732;21.616475;16613809;2;4;-1;1
first_cousins15_g4-b1-i1;5;57607359;62178786;67.705714;70.628824;2.92311;4571427;2;4;-1;0
first_cousins15_g4-b1-i1;6;9751549;23936639;22.356147;45.667742;23.311595;14185090;2;4;1;0
first_cousins15_g4-b1-i1;6;37554064;40606648;55.130484;58.703352;3.572868;3052584;2;4;-1;2
first_cousins15_g4-b1-i1;7;68733029;81736990;77.774528;90.343411;12.568883;13003961;2;4;1;0
first_cousins15_g4-b1-i1;9;2139910;19482959;5.603865;38.405442;32.801577;17343049;2;4;1;0
first_cousins15_g4-b1-i1;9;27723608;30116126;49.982613;52.157242;2.17463;2392518;2;4;-1;1
first_cousins15_g4-b1-i1;9;82121022;115145557;73.898615;110.532206;36.633591;33024535;2;4;1;0
first_cousins15_g4-b1-i1;14;83262726;107285437;75.23417;115.922228;40.688058;24022711;2;4;1;1
first_cousins15_g4-b1-i1;15;80442477;88932419;72.786411;80.987477;8.201066;8489942;2;4;1;1
first_cousins15_g4-b1-i1;18;112535;7930796;0;25.717337;25.717337;7818261;2;4;-1;0
first_cousins15_g4-b1-i1;20;69094;6863123;0;20.669164;20.669164;6794029;2;4;-1;0
first_cousins15_g4-b1-i1;20;52233622;60458212;78.244319;102.212308;23.967989;8224590;2;4;-1;0
first_cousins15_g4-b1-i1;22;17990073;19731275;3.336763;7.554057;4.217294;1741202;2;4;-1;0
first_cousins15_g4-b1-i1;22;20956075;22513005;9.64579;12.391528;2.745738;1556930;2;4;1;0
first_cousins15_g4-b1-i1;22;27634783;48293374;25.723969;59.670899;33.946931;20658591;2;4;1;2
first_cousins16_g4-b1-i1;1;752721;9508549;0;17.52041;17.52041;8755828;3;3;1;1
first_cousins16_g4-b1-i1;3;60594470;61612386;78.856912;80.249897;1.392985;1017916;3;3;1;0
first_cousins16_g4-b1-i1;3;194709921;197800244;212.332681;216.849168;4.516487;3090323;3;3;1;0
first_cousins16_g4-b1-i1;4;167098394;181779939;158.534455;176.711342;18.176888;14681545;3;3;-1;0
first_cousins16_g4-b1-i1;5;34924459;51632513;53.958534;61.589823;7.631289;16708054;3;3;-1;0
first_cousins16_g4-b1-i1;5;51700276;75567549;61.657788;83.575667;21.917879;23867273;3;3;-1;0
first_cousins16_g4-b1-i1;5;105937535;106098382;106.809236;106.916223;0.106986;160847;3;3;-1;0
first_cousins16_g4-b1-i1;6;40344482;92016884;58.106712;95.113393;37.006681;51672402;3;3;-1;1
first_cousins16_g4-b1-i1;6;126258888;134529071;123.174864;130.774915;7.600051;8270183;3;3;-1;0
first_cousins16_g4-b1-i1;7;30708932;45243563;46.223783;64.89388;18.670097;14534631;3;3;-1;0
first_cousins16_g4-b1-i1;7;54611883;70864422;72.833284;79.350639;6.517355;16252539;3;3;-1;1
first_cousins16_g4-b1-i1;7;151126285;152382336;155.156168;158.853018;3.69685;1256051;3;3;-1;0
first_cousins16_g4-b1-i1;12;2190058;4113199;4.383006;9.89354;5.510534;1923141;3;3;-1;0
first_cousins16_g4-b1-i1;12;20034986;41706655;36.253143;53.558857;17.305714;21671669;3;3;-1;0
first_cousins16_g4-b1-i1;12;43416703;88346631;54.710159;92.893416;38.183257;44929928;3;3;-1;1
first_cousins16_g4-b1-i1;15;93992133;102398631;93.598905;118.431046;24.832142;8406498;3;3;1;1
first_cousins16_g4-b1-i1;17;6888;5941183;0;14.372275;14.372275;5934295;3;3;1;0
first_cousins16_g4-b1-i1;17;39883396;49448677;63.916355;72.007368;8.091013;9565281;3;3;-1;0
first_cousins17_g4-b1-i1;3;172572022;191877931;173.237662;204.402937;31.165275;19305909;3;3;-1;0
first_cousins17_g4-b1-i1;5;157856;2236889;0;3.969607;3.969607;2079033;3;3;-1;0
first_cousins17_g4-b1-i1;6;134890874;151632638;131.596883;151.679546;20.082663;16741764;3;3;1;1
first_cousins17_g4-b1-i1;15;20161372;37579753;0;27.779906;27.779906;17418381;3;3;-1;0
first_cousins17_g4-b1-i1;15;101552081;102398631;115.157899;118.431046;3.273147;846550;3;3;1;0
first_cousins17_g4-b1-i1;16;143503;8810238;0;19.25574;19.25574;8666735;3;3;1;0
first_cousins17_g4-b1-i1;18;112535;4293318;0;13.16986;13.16986;4180783;3;3;-1;0
first_cousins17_g4-b1-i1;18;61441054;61817043;85.499994;86.00831;0.508316;375989;3;3;-1;0
first_cousins18_g4-b1-i1;1;233759984;244682074;230.589125;255.100841;24.511716;10922090;2;4;1;0
first_cousins18_g4-b1-i1;2;306704;9763711;0.053909;20.746753;20.692844;9457007;2;4;1;0
first_cousins18_g4-b1-i1;2;15828530;16379273;31.604049;33.097933;1.493884;550743;2;4;1;0
first_cousins18_g4-b1-i1;2;23068252;28686285;40.944253;45.543003;4.59875;5618033;2;4;1;0
first_cousins18_g4-b1-i1;2;33658747;37688425;51.440854;56.613689;5.172835;4029678;2;4;-1;0
first_cousins18_g4-b1-i1;2;42337087;66413908;61.252418;83.300371;22.047953;24076821;2;4;1;1
first_cousins18_g4-b1-i1;2;174142499;174307769;170.242791;170.877816;0.635025;165270;2;4;-1;0
first_cousins18_g4-b1-i1;2;176706903;176739798;173.582492;173.691424;0.108933;32895;2;4;-1;0
first_cousins18_g4-b1-i1;2;205036796;218314574;191.91949;206.590709;14.671219;13277778;2;4;-1;0
first_cousins18_g4-b1-i1;2;228590676;235627449;221.551575;233.056945;11.505371;7036773;2;4;1;1
first_cousins18_g4-b1-i1;3;110519071;141890518;117.180154;146.549212;29.369058;31371447;2;4;1;2
first_cousins18_g4-b1-i1;3;171103589;172052175;170.102835;172.23925;2.136415;948586;2;4;-1;0
first_cousins18_g4-b1-i1;9;20471133;36726752;40.191393;56.718266;16.526872;16255619;2;4;-1;0
first_cousins18_g4-b1-i1;12;70087679;80450709;79.998619;89.079074;9.080455;10363030;2;4;1;0
first_cousins18_g4-b1-i1;19;55308075;59058083;94.228268;103.571793;9.343525;3750008;2;4;1;0
first_cousins18_g4-b1-i1;20;69094;10934933;0;29.521843;29.521843;10865839;2;4;1;1
first_cousins18_g4-b1-i1;22;17087705;27223874;0;23.953113;23.953113;10136169;2;4;-1;0
first_cousins19_g4-b1-i1;7;51945539;82966975;71.528699;91.92934;20.400641;31021436;4;2;-1;1
first_cousins19_g4-b1-i1;7;83311407;101956778;92.219788;106.156212;13.936424;18645371;4;2;-1;1
first_cousins19_g4-b1-i1;8;72752538;101871852;80.985321;102.579139;21.593819;29119314;4;2;-1;2
first_cousins19_g4-b1-i1;9;5579202;15050625;13.772161;31.424011;17.65185;9471423;4;2;-1;0
first_cousins19_g4-b1-i1;10;29823404;30103438;51.118031;51.686493;0.568461;280034;4;2;-1;0
first_cousins19_g4-b1-i1;12;191619;671272;0;0.983302;0.983302;479653;4;2;-1;0
first_cousins19_g4-b1-i1;13;94904581;101571721;84.354832;93.999981;9.645149;6667140;4;2;1;0
first_cousins19_g4-b1-i1;13;108190612;112136296;108.704659;118.877917;10.173258;3945684;4;2;1;0
first_cousins19_g4-b1-i1;16;143503;5671543;0;9.646518;9.646518;5528040;4;2;1;0
first_cousins19_g4-b1-i1;21;45135270;48094803;56.224417;61.462531;5.238114;2959533;4;2;1;0
first_cousins20_g4-b1-i1;1;18661725;35379283;34.950929;57.483596;22.532667;16717558;4;2;1;0
first_cousins20_g4-b1-i1;1;81556644;94578737;102.975417;115.580465;12.605048;13022093;4;2;1;0
first_cousins20_g4-b1-i1;1;241883283;249170711;249.332321;261.713366;12.381045;7287428;4;2;-1;0
first_cousins20_g4-b1-i1;2;133737946;137029107;136.553433;140.072469;3.519037;3291161;4;2;1;0
first_cousins20_g4-b1-i1;2;217100454;235805921;204.303359;234.172525;29.869166;18705467;4;2;1;0
first_cousins20_g4-b1-i1;2;235969709;243043959;234.866201;248.706832;13.840631;7074250;4;2;1;1
first_cousins20_g4-b1-i1;3;10552633;18604060;26.560089;37.195769;10.63568;8051427;4;2;1;0
first_cousins20_g4-b1-i1;7;97626373;154737030;102.858069;166.133462;63.275393;57110657;4;2;1;3
first_cousins20_g4-b1-i1;11;241489;343070;0;0.459583;0.459583;101581;4;2;1;0
first_cousins20_g4-b1-i1;15;100693234;102398631;113.145404;118.431046;5.285642;1705397;4;2;1;0
first_cousins20_g4-b1-i1;18;55301812;78014582;74.761926;116.434245;41.672319;22712770;4;2;1;0
first_cousins20_g4-b1-i1;19;56014737;59058083;96.546244;103.571793;7.025548;3043346;4;2;-1;1
first_cousins20_g4-b1-i1;20;937888;1260596;3.90506;4.757569;0.852508;322708;4;2;-1;0
first_cousins20_g4-b1-i1;22;26465921;26600628;21.865585;22.05884;0.193255;134707;4;2;1;0
first_cousins21_g4-b1-i1;1;40095359;40570134;63.375206;64.158057;0.782852;474775;2;4;-1;0
first_cousins21_g4-b1-i1;1;81435380;81931191;102.723972;103.407055;0.683083;495811;2;4;-1;0
first_cousins21_g4-b1-i1;1;202128669;202537275;193.582231;193.957985;0.375754;408606;2;4;1;0
first_cousins21_g4-b1-i1;1;215041153;223030490;210.519222;218.825531;8.306309;7989337;2;4;1;0
